OID_,hhpkm,nvpkm,areakm,hhn,nvn,hvn,grid,Shape_Length,Shape_Area,row,col
225,3393.500000000000000,843.500000000000000,2.560000000000000,8687,2159,6528,259,6400.000000000000000,2560000.000000000000000,25,
226,534.000000000000000,8.000000000000000,2.560000000000000,1367,20,1347,264,6400.000000000000000,2560000.000000000000000,25,
227,579.000000000000000,26.000000000000000,2.560000000000000,1482,67,1415,265,6400.000000000000000,2560000.000000000000000,25,
228,624.000000000000000,44.000000000000000,2.560000000000000,1597,113,1484,266,6400.000000000000000,2560000.000000000000000,25,
229,423.000000000000000,0.500000000000000,2.560000000000000,1083,1,1082,267,6400.000000000000000,2560000.000000000000000,25,
230,439.500000000000000,5.500000000000000,2.560000000000000,1125,14,1111,268,6400.000000000000000,2560000.000000000000000,25,
231,463.500000000000000,17.000000000000000,2.560000000000000,1187,44,1143,269,6400.000000000000000,2560000.000000000000000,25,
232,116.000000000000000,0.000000000000000,2.560000000000000,297,0,297,270,6400.000000000000000,2560000.000000000000000,25,
233,125.250000000000000,1.250000000000000,2.560000000000000,321,3,318,271,6400.000000000000000,2560000.000000000000000,25,
234,134.500000000000000,2.500000000000000,2.560000000000000,344,6,338,272,6400.000000000000000,2560000.000000000000000,25,
235,134.500000000000000,2.500000000000000,2.560000000000000,344,6,338,273,6400.000000000000000,2560000.000000000000000,25,
236,81.250000000000000,4.250000000000000,2.560000000000000,208,11,197,274,6400.000000000000000,2560000.000000000000000,25,
237,195.250000000000028,25.000000000000000,2.560000000000000,500,64,436,275,6400.000000000000000,2560000.000000000000000,25,
238,273.500000000000000,42.500000000000000,2.560000000000000,700,109,591,276,6400.000000000000000,2560000.000000000000000,25,
239,243.500000000000000,21.250000000000000,2.560000000000000,623,54,569,277,6400.000000000000000,2560000.000000000000000,25,
240,418.500000000000000,103.750000000000000,2.560000000000000,1071,266,805,278,6400.000000000000000,2560000.000000000000000,25,
241,310.000000000000000,73.750000000000000,2.560000000000000,794,189,605,279,6400.000000000000000,2560000.000000000000000,25,
